date,pm25,pm10,no2,so2,co,o3,month,dayofweek,is_winter,pm25_lag1,pm25_lag7,pm25_lag14,pm25_roll3,pm25_roll7,pm25_roll14,pm25_std7,pm10_roll7,no2_roll7,so2_roll7,co_roll7,o3_roll7,pm25_tomorrow,unsafe_tomorrow,isoforest_flag,ocsvm_flag,is_high_pm25
2016-03-19,138.0,117.0,55.0,25.0,18.0,68.0,3,5,0,134.0,161.0,192.0,138.66666666666666,122.14285714285714,138.07142857142858,28.88153141962975,106.0,34.857142857142854,13.285714285714286,10.428571428571429,53.285714285714285,164.0,1,-1,-1,0
2016-03-20,164.0,132.0,36.0,7.0,10.0,43.0,3,6,0,138.0,102.0,121.0,145.33333333333334,131.0,141.14285714285714,31.096623610935463,115.57142857142857,37.285714285714285,13.0,11.0,40.19047619047619,155.0,1,1,1,0
2016-03-21,155.0,95.0,22.0,3.0,4.0,39.0,3,0,0,164.0,77.0,105.0,152.33333333333334,142.14285714285714,144.71428571428572,20.788046015511615,117.57142857142857,37.42857142857143,12.142857142857142,10.142857142857142,35.0,119.0,0,1,1,0
2016-03-22,119.0,91.0,21.0,3.0,4.0,45.0,3,1,0,155.0,102.0,166.0,146.0,144.57142857142858,141.35714285714286,15.68286902810032,109.0,36.285714285714285,10.571428571428571,8.714285714285714,39.142857142857146,104.0,0,1,1,0
2016-03-23,104.0,111.0,27.0,7.0,9.0,52.0,3,2,0,119.0,158.0,139.0,126.0,136.85714285714286,138.85714285714286,20.51364238280718,109.71428571428571,35.57142857142857,10.285714285714286,9.0,43.285714285714285,160.0,1,1,1,0
2016-03-24,160.0,230.0,45.0,9.0,25.0,106.0,3,3,0,104.0,144.0,175.0,127.66666666666667,139.14285714285714,137.78571428571428,22.259294473912828,127.14285714285714,36.142857142857146,9.857142857142858,11.428571428571429,53.714285714285715,183.0,1,-1,-1,0
2016-03-25,183.0,203.0,53.0,13.0,21.0,98.0,3,4,0,160.0,134.0,211.0,149.0,146.14285714285714,135.78571428571428,27.4677299840441,139.85714285714286,37.0,9.571428571428571,13.0,64.42857142857143,203.0,1,-1,-1,0
2016-03-26,203.0,103.0,25.0,9.0,6.0,17.0,3,5,0,183.0,138.0,161.0,182.0,155.42857142857142,138.78571428571428,34.37468614575555,137.85714285714286,32.714285714285715,7.285714285714286,11.285714285714286,57.142857142857146,121.0,0,1,1,0
2016-03-27,121.0,83.0,23.0,7.0,5.0,45.0,3,6,0,203.0,164.0,102.0,169.0,149.28571428571428,140.14285714285714,36.37175775110301,130.85714285714286,30.857142857142858,7.285714285714286,10.571428571428571,57.42857142857143,118.0,0,1,1,0
2016-03-28,118.0,114.0,30.0,14.0,6.0,56.0,3,0,0,121.0,155.0,77.0,147.33333333333334,144.0,143.07142857142858,38.05259518088311,133.57142857142858,32.0,8.857142857142858,10.857142857142858,59.857142857142854,132.0,0,1,1,0
2016-03-29,132.0,130.0,30.0,15.0,7.0,78.0,3,1,0,118.0,119.0,102.0,123.66666666666667,145.85714285714286,145.21428571428572,36.929791819203224,139.14285714285714,33.285714285714285,10.571428571428571,11.285714285714286,64.57142857142857,159.0,1,-1,1,0
2016-03-30,159.0,169.0,36.0,17.0,11.0,89.0,3,2,0,132.0,104.0,158.0,136.33333333333334,153.71428571428572,145.28571428571428,32.07134902949332,147.42857142857142,34.57142857142857,12.0,11.571428571428571,69.85714285714286,189.0,1,-1,-1,0
2016-03-31,189.0,181.0,51.0,17.0,21.0,95.0,3,3,0,159.0,160.0,144.0,160.0,157.85714285714286,148.5,34.77752421430165,140.42857142857142,35.42857142857143,13.142857142857142,11.0,68.28571428571429,163.0,1,-1,-1,0
2016-04-01,163.0,135.0,30.0,9.0,6.0,46.0,4,4,0,189.0,183.0,134.0,170.33333333333334,155.0,150.57142857142858,33.15116890850384,130.71428571428572,32.142857142857146,12.571428571428571,8.857142857142858,60.857142857142854,151.0,1,1,1,0
2016-04-02,151.0,132.0,37.0,7.0,10.0,88.0,4,5,0,163.0,203.0,138.0,167.66666666666666,147.57142857142858,151.5,25.559454498988767,134.85714285714286,33.857142857142854,12.285714285714286,9.428571428571429,71.0,142.0,0,1,1,0
2016-04-03,142.0,206.0,44.0,15.0,18.0,128.0,4,6,0,151.0,121.0,164.0,152.0,150.57142857142858,149.92857142857142,23.027933348129018,152.42857142857142,36.857142857142854,13.428571428571429,11.285714285714286,82.85714285714286,191.0,1,-1,-1,0
2016-04-04,191.0,246.0,32.0,19.0,14.0,25.0,4,0,0,142.0,118.0,155.0,161.33333333333334,161.0,152.5,22.338307903691863,171.28571428571428,37.142857142857146,14.142857142857142,12.428571428571429,78.42857142857143,207.0,1,-1,-1,0
2016-04-05,207.0,218.4,35.2,17.4,13.0,28.4,4,1,0,191.0,132.0,119.0,180.0,171.71428571428572,158.78571428571428,24.032715796837326,183.91428571428574,37.885714285714286,14.485714285714284,13.285714285714286,71.34285714285714,117.4,0,-1,-1,0
2016-04-09,117.4,108.0,48.0,11.0,9.0,42.0,4,5,0,207.0,159.0,104.0,171.79999999999998,165.77142857142857,159.74285714285716,31.640149298307403,175.20000000000002,39.6,13.628571428571428,13.0,64.62857142857142,95.0,0,-1,-1,0
2016-04-10,95.0,198.0,37.0,16.0,9.0,52.0,4,6,0,117.4,189.0,160.0,139.79999999999998,152.34285714285716,155.1,39.18617346049938,177.62857142857143,37.6,13.485714285714284,11.285714285714286,58.48571428571428,129.0,0,-1,-1,0
2016-04-11,129.0,217.0,27.0,9.0,5.0,40.0,4,0,0,95.0,163.0,183.0,113.8,147.4857142857143,151.24285714285716,39.74818354639943,189.34285714285716,37.17142857142857,13.485714285714284,11.142857142857142,57.628571428571426,97.0,0,-1,-1,0
2016-04-12,97.0,103.0,27.0,11.0,6.0,44.0,4,1,0,129.0,151.0,203.0,107.0,139.77142857142857,143.67142857142858,43.96853853555467,185.20000000000002,35.74285714285714,14.057142857142855,10.571428571428571,51.34285714285714,97.0,0,1,-1,0
2016-04-13,97.0,135.0,41.0,8.0,7.0,52.0,4,2,0,97.0,142.0,121.0,107.66666666666667,133.34285714285713,141.95714285714286,46.7877069731966,175.05714285714288,35.31428571428571,13.057142857142855,9.0,40.48571428571428,88.0,0,-1,-1,0
2016-04-14,88.0,141.0,37.0,15.0,9.0,78.0,4,3,0,97.0,191.0,118.0,94.0,118.62857142857142,139.81428571428572,41.534311690688426,160.05714285714288,36.028571428571425,12.485714285714284,8.285714285714286,48.05714285714286,134.0,0,-1,-1,0
2016-04-15,134.0,233.0,48.0,28.0,21.0,93.0,4,4,0,88.0,207.0,132.0,106.33333333333333,108.2,139.95714285714286,18.330666472705243,162.14285714285714,37.857142857142854,14.0,9.428571428571429,57.285714285714285,167.0,1,-1,-1,0
2016-04-16,167.0,180.0,43.0,18.0,15.0,51.0,4,5,0,134.0,117.4,159.0,129.66666666666666,115.28571428571429,140.52857142857144,28.97535898952149,172.42857142857142,37.142857142857146,15.0,10.285714285714286,58.57142857142857,204.0,1,-1,-1,0
2016-04-17,204.0,178.0,30.0,16.0,7.0,48.0,4,6,0,167.0,95.0,189.0,168.33333333333334,130.85714285714286,141.6,42.42416202837381,169.57142857142858,36.142857142857146,15.0,10.0,58.0,149.0,0,-1,-1,0
2016-04-18,149.0,149.0,33.0,11.0,7.0,67.0,4,0,0,204.0,129.0,163.0,173.33333333333334,133.71428571428572,140.6,42.94847411226171,159.85714285714286,37.0,15.285714285714286,10.285714285714286,61.857142857142854,145.0,0,-1,-1,0
2016-04-19,145.0,256.0,46.0,25.0,12.0,85.0,4,1,0,149.0,97.0,151.0,166.0,140.57142857142858,140.17142857142858,39.8282024988059,181.71428571428572,39.714285714285715,17.285714285714285,11.142857142857142,67.71428571428571,204.0,1,-1,-1,0
2016-04-20,204.0,207.0,31.0,20.0,8.0,77.0,4,2,0,145.0,97.0,142.0,166.0,155.85714285714286,144.6,40.83882373195478,192.0,38.285714285714285,19.0,11.285714285714286,71.28571428571429,177.0,1,-1,-1,0
2016-04-21,177.0,173.0,28.0,12.0,6.0,71.0,4,3,0,204.0,88.0,191.0,175.33333333333334,168.57142857142858,143.6,28.04078662031155,196.57142857142858,37.0,18.571428571428573,10.857142857142858,70.28571428571429,158.0,1,-1,-1,0
